videoName,PhaseName,Start,End
RALIHR_surgeon01_fps01_0006,Peritoneal closure5,09:35,10:46
RALIHR_surgeon01_fps01_0006,Suture Positioning4,10:46,12:00
RALIHR_surgeon01_fps01_0006,Transitionary Idle3,12:00,12:06
RALIHR_surgeon01_fps01_0006,Mesh positioning1,12:06,12:24
RALIHR_surgeon01_fps01_0006,Transitionary Idle4,12:24,12:30
RALIHR_surgeon01_fps01_0006,Mesh positioning2,12:30,12:46
RALIHR_surgeon01_fps01_0006,Transitionary Idle5,12:46,12:57
RALIHR_surgeon01_fps01_0006,Stationary Idle,12:57,13:20
RALIHR_surgeon01_fps01_0007,Transitionary Idle1,00:00,00:42
RALIHR_surgeon01_fps01_0007,Catheter Insertion,00:42,01:57
RALIHR_surgeon01_fps01_0007,Transitionary Idle2,01:57,02:11
RALIHR_surgeon01_fps01_0007,Suture positioning1,02:11,02:26
RALIHR_surgeon01_fps01_0007,Peritoneal closure1,02:26,05:17
RALIHR_surgeon01_fps01_0007,Suture positioining2,05:17,05:47
RALIHR_surgeon01_fps01_0007,Peritoneal closure2,05:47,08:46
RALIHR_surgeon01_fps01_0007,Suture positioining3,08:46,09:40
RALIHR_surgeon01_fps01_0007,Transitionary Idle3,09:40,09:56
RALIHR_surgeon01_fps01_0007,Stationary Idle,09:56,10:08
RALIHR_surgeon01_fps01_0008,Stationary Idle1,00:00,00:17
RALIHR_surgeon01_fps01_0008,Transitionary Idle1,00:17,00:30
RALIHR_surgeon01_fps01_0008,Peritoneal scoring1,00:30,01:08
RALIHR_surgeon01_fps01_0008,Preperitoneal dissection1,01:08,07:06
RALIHR_surgeon01_fps01_0008,Reduction of Hernia1,07:06,09:23
RALIHR_surgeon01_fps01_0008,Transitionary Idle2,09:23,09:38
RALIHR_surgeon01_fps01_0008,Peritoneal scoring2,09:38,09:58
RALIHR_surgeon01_fps01_0008,Preperitoneal dissection2,09:58,18:26
RALIHR_surgeon01_fps01_0008,Reduction of Hernia2,18:26,20:50
RALIHR_surgeon01_fps01_0008,Transitionary Idle3,20:50,21:01
RALIHR_surgeon01_fps01_0008,Reduction of hernia3,21:01,23:00
RALIHR_surgeon01_fps01_0008,Transitionary Idle4,23:00,23:18
RALIHR_surgeon01_fps01_0008,Reduction of hernia4,23:18,25:32
RALIHR_surgeon01_fps01_0008,Stationary Idle2,25:32,25:54
RALIHR_surgeon01_fps01_0008,Transitionary Idle5,25:54,25:58
RALIHR_surgeon01_fps01_0008,Stationary Idle3,25:58,26:30
RALIHR_surgeon01_fps01_0008,Transitionary Idle6,26:30,26:50
RALIHR_surgeon01_fps01_0008,Stationary Idle4,26:50,27:15
RALIHR_surgeon01_fps01_0008,Transitionary Idle7,27:15,27:44
RALIHR_surgeon01_fps01_0008,Mesh positioning1,27:44,28:29
RALIHR_surgeon01_fps01_0008,Transitionary Idle8,28:29,28:53
RALIHR_surgeon01_fps01_0008,Positioning suture1,28:53,29:15
RALIHR_surgeon01_fps01_0008,Transitionary Idle9,29:15,30:15
RALIHR_surgeon01_fps01_0008,Out of body1,30:15,31:01
RALIHR_surgeon01_fps01_0008,Transitionary Idle10,31:01,31:10
RALIHR_surgeon01_fps01_0008,Mesh placement1,31:10,34:33
RALIHR_surgeon01_fps01_0008,Transitionary Idle11,34:33,34:43
RALIHR_surgeon01_fps01_0008,Mesh placement2,34:43,38:26
RALIHR_surgeon01_fps01_0008,Transitionary Idle12,38:26,38:50
RALIHR_surgeon01_fps01_0008,Catheter insertion,38:50,39:43
RALIHR_surgeon01_fps01_0008,Positioning suture2,39:43,40:14
RALIHR_surgeon01_fps01_0008,Peritoneal closure1,40:14,44:06
RALIHR_surgeon01_fps01_0008,Positioning suture3,44:06,44:18
RALIHR_surgeon01_fps01_0008,Peritoneal closure2,44:18,48:34
RALIHR_surgeon01_fps01_0008,Positioning suture4,48:34,49:15
RALIHR_surgeon01_fps01_0008,Transitionary Idle13,49:15,49:20
RALIHR_surgeon01_fps01_0009,Transitionary Idle1,00:00,00:05
RALIHR_surgeon01_fps01_0009,Positioning suture1,00:05,00:17
RALIHR_surgeon01_fps01_0009,Transitionary Idle2,00:17,00:22
RALIHR_surgeon01_fps01_0009,Mesh positioning1,00:22,00:35
RALIHR_surgeon01_fps01_0009,Transitionary Idle3,00:35,00:50
RALIHR_surgeon01_fps01_0009,Peritoneal scoring1,00:50,01:03
RALIHR_surgeon01_fps01_0009,Preperitoneal dissection1,01:03,06:18
RALIHR_surgeon01_fps01_0009,Reduction of hernia1,06:18,07:44
RALIHR_surgeon01_fps01_0009,Transitionary Idle4,07:44,07:49
RALIHR_surgeon01_fps01_0009,Mesh placement1,07:49,09:16
RALIHR_surgeon01_fps01_0009,Transitionary Idle5,09:16,09:39
RALIHR_surgeon01_fps01_0009,Peritoneal scoring2,09:39,10:16
RALIHR_surgeon01_fps01_0009,Preperitoneal dissection2,10:16,16:24
RALIHR_surgeon01_fps01_0009,Reduction of hernia2,16:24,19:55
RALIHR_surgeon01_fps01_0009,Transitionary Idle6,19:55,21:46
RALIHR_surgeon01_fps01_0009,Mesh placement2,21:46,22:28
RALIHR_surgeon01_fps01_0009,Transitionary Idle7,22:28,22:40
RALIHR_surgeon01_fps01_0009,Stationary idle,22:40,22:55
RALIHR_surgeon01_fps01_0009,Transitionary Idle8,22:55,23:08
RALIHR_surgeon01_fps01_0009,Mesh placement3,23:08,24:38
RALIHR_surgeon01_fps01_0009,Transitionary Idle9,24:38,25:10
RALIHR_surgeon01_fps01_0010,Transitionary Idle1,00:00,00:32
RALIHR_surgeon01_fps01_0010,Peritoneal scoring1,00:32,01:28
RALIHR_surgeon01_fps01_0010,Preperitoneal dissection1,01:28,11:21
RALIHR_surgeon01_fps01_0010,Reduction of hernia1,11:21,18:37
RALIHR_surgeon01_fps01_0010,Transitionary Idle2,18:37,19:18
RALIHR_surgeon01_fps01_0010,Peritoneal scoring2,19:18,20:22
RALIHR_surgeon01_fps01_0010,Preperitoneal dissection2,20:22,31:55
RALIHR_surgeon01_fps01_0010,Reduction of hernia2,31:55,34:45
RALIHR_surgeon01_fps01_0010,Transitionary Idle3,34:45,35:15
RALIHR_surgeon01_fps01_0010,Stationary Idle1,35:15,36:09
RALIHR_surgeon01_fps01_0010,Transitionary Idle4,36:09,36:26
RALIHR_surgeon01_fps01_0010,Stationary Idle2,36:26,37:27
RALIHR_surgeon01_fps01_0010,Transitionary Idle5,37:27,39:34
RALIHR_surgeon01_fps01_0010,Mesh Positioning1,39:34,40:30
RALIHR_surgeon01_fps01_0010,Transitionary Idle6,40:30,40:41
RALIHR_surgeon01_fps01_0010,Stationary Idle3,40:41,41:26
RALIHR_surgeon01_fps01_0010,Mesh Positioning2,41:26,42:16
RALIHR_surgeon01_fps01_0010,Transitionary Idle7,42:16,42:31
RALIHR_surgeon01_fps01_0010,Positioning suture1,42:31,42:45
RALIHR_surgeon01_fps01_0010,Transitionary Idle8,42:45,44:58
RALIHR_surgeon01_fps01_0010,Positioning of suture2,44:58,45:03
RALIHR_surgeon01_fps01_0010,Transitionary Idle9,45:03,46:41
RALIHR_surgeon01_fps01_0010,Positioning of suture3,46:41,47:16
RALIHR_surgeon01_fps01_0010,Transitionary Idle10,47:16,47:22
RALIHR_surgeon01_fps01_0010,Mesh Placement1,47:22,49:51
RALIHR_surgeon01_fps01_0010,Transitionary Idle11,49:51,50:10
RALIHR_surgeon01_fps01_0010,Mesh Placement2,50:10,54:08
RALIHR_surgeon01_fps01_0010,Transitionary Idle12,54:08,54:40
RALIHR_surgeon01_fps01_0010,Catheter insertion,54:40,55:35
RALIHR_surgeon01_fps01_0010,Transitionary Idle13,55:35,55:42
RALIHR_surgeon01_fps01_0010,Positioning of suture4,55:42,55:47
RALIHR_surgeon01_fps01_0010,Peritoneal closure1,55:47,58:57
RALIHR_surgeon01_fps01_0010,Transitionary Idle14,58:57,59:26
RALIHR_surgeon01_fps01_0010,Positioning of suture5,59:26,59:40
RALIHR_surgeon01_fps01_0010,Peritoneal closure2,59:40,01:14:19
RALIHR_surgeon01_fps01_0010,Positioning of suture6,01:14:19,01:14:39
RALIHR_surgeon01_fps01_0010,Peritoneal closure3,01:14:39,01:16:08
RALIHR_surgeon01_fps01_0011,Transitionary Idle1,00:00,00:13
RALIHR_surgeon01_fps01_0011,Positioning of Suture1,00:13,00:39
RALIHR_surgeon01_fps01_0011,Transitionary Idle1,00:39,00:44
RALIHR_surgeon01_fps01_0011,Mesh positioning1,00:44,01:04
RALIHR_surgeon01_fps01_0011,Transitionary Idle2,01:04,01:25
RALIHR_surgeon01_fps01_0011,Peritoneal scoring1,01:25,02:15
RALIHR_surgeon01_fps01_0011,Preperitoneal dissection1,02:15,05:52
RALIHR_surgeon01_fps01_0011,Reduction of hernia1,05:52,12:52
RALIHR_surgeon01_fps01_0011,Transitionary Idle3,12:52,13:02
RALIHR_surgeon01_fps01_0011,Mesh positioning2,13:02,13:55
RALIHR_surgeon01_fps01_0011,Positioning of Suture2,13:55,14:09
RALIHR_surgeon01_fps01_0011,Mesh positioning3,14:09,15:00
RALIHR_surgeon01_fps01_0011,Transitionary Idle4,15:00,15:12
RALIHR_surgeon01_fps01_0011,Peritoneal scoring2,15:12,16:02
RALIHR_surgeon01_fps01_0011,Prepreitoneal dissection2,16:02,16:25
RALIHR_surgeon01_fps01_0011,Peritoneal scoring3,16:25,17:16
RALIHR_surgeon01_fps01_0011,Prepreitoneal dissection3,17:16,18:47
RALIHR_surgeon01_fps01_0011,Reduction of hernia2,18:47,26:58
RALIHR_surgeon01_fps01_0011,Transitionary Idle5,26:58,27:04
RALIHR_surgeon01_fps01_0011,Mesh positioning4,27:04,28:01
RALIHR_surgeon01_fps01_0011,Transitionary Idle6,28:01,28:10
RALIHR_surgeon01_fps01_0011,Positioning of suture3,28:10,28:44
RALIHR_surgeon01_fps01_0011,Transitionary Idle7,28:44,28:50
RALIHR_surgeon01_fps01_0011,Mesh placement1,28:50,33:40
RALIHR_surgeon01_fps01_0011,Transitionary Idle8,33:40,33:49
RALIHR_surgeon01_fps01_0011,Mesh placement2,33:49,37:37
RALIHR_surgeon01_fps01_0011,Transitionary Idle8,37:37,40:31
RALIHR_surgeon01_fps01_0011,Catheter insertion,40:31,40:55
RALIHR_surgeon01_fps01_0011,Transitionary Idle9,40:55,41:03
RALIHR_surgeon01_fps01_0011,Positioning of suture4,41:03,41:08
RALIHR_surgeon01_fps01_0011,Peritoneal closure1,41:08,44:28
RALIHR_surgeon01_fps01_0011,Positioning of suture5,44:28,44:36
RALIHR_surgeon01_fps01_0011,Peritoneal closure2,44:36,45:28
RALIHR_surgeon01_fps01_0011,Positioning of suture6,45:28,45:43
RALIHR_surgeon01_fps01_0011,Peritoneal closure3,45:43,48:56
RALIHR_surgeon01_fps01_0011,Positioning of suture7,48:56,50:08
RALIHR_surgeon01_fps01_0011,Transitionary Idle10,50:08,50:21
RALIHR_surgeon01_fps01_0011,Stationary Idle1,50:21,51:07
RALIHR_surgeon01_fps01_0011,Transitionary Idle11,51:07,51:36
RALIHR_surgeon01_fps01_0011,Positioning of suture8,51:36,51:51
RALIHR_surgeon01_fps01_0011,Peritoneal closure4,51:51,52:59
RALIHR_surgeon01_fps01_0011,Positioning of suture9,52:59,53:33
RALIHR_surgeon01_fps01_0011,Transitionary Idle12,53:45,53:45
RALIHR_surgeon01_fps01_0012,Transitionary Idle1,00:00,00:14
RALIHR_surgeon01_fps01_0012,Mesh Positioning1,00:14,00:26
RALIHR_surgeon01_fps01_0012,Positioning of suture1,00:26,01:30
RALIHR_surgeon01_fps01_0012,Mesh Positioning2,01:30,01:34
RALIHR_surgeon01_fps01_0012,Transitionary Idle2,01:34,01:53
RALIHR_surgeon01_fps01_0012,Peritoneal scoring1,01:53,03:42
RALIHR_surgeon01_fps01_0012,Preperitoneal dissection1,03:42,07:35
RALIHR_surgeon01_fps01_0012,Reduction of hernia1,07:35,16:14
RALIHR_surgeon01_fps01_0012,Transitionary Idle3,16:14,16:27
RALIHR_surgeon01_fps01_0012,Mesh Placement1,16:27,18:21
RALIHR_surgeon01_fps01_0012,Transitionary Idle4,18:21,18:31
RALIHR_surgeon01_fps01_0012,Peritoneal scoring2,18:31,19:52
RALIHR_surgeon01_fps01_0012,Preperitoneal dissection2,19:52,22:30
RALIHR_surgeon01_fps01_0012,Reduction of hernia2,22:30,30:40
RALIHR_surgeon01_fps01_0012,Transitionary Idle5,30:40,30:51
RALIHR_surgeon01_fps01_0012,Mesh Placement2,30:51,31:46
RALIHR_surgeon01_fps01_0012,Transitionary Idle6,31:46,32:46
RALIHR_surgeon01_fps01_0012,Mesh Placement3,32:46,36:10
RALIHR_surgeon01_fps01_0012,Transitionary Idle6,36:10,36:20
RALIHR_surgeon01_fps01_0012,Mesh Placement4,36:20,42:52
RALIHR_surgeon01_fps01_0012,Transitionary Idle7,42:52,43:08
RALIHR_surgeon01_fps01_0012,Catheter insertion,43:08,43:36
RALIHR_surgeon01_fps01_0012,Transitionary Idle8,43:36,43:51
RALIHR_surgeon01_fps01_0012,Positioning of suture2,43:51,44:12
RALIHR_surgeon01_fps01_0012,Peritoneal Closure1,44:12,48:29
RALIHR_surgeon01_fps01_0012,Positioning of suture3,48:29,48:47
RALIHR_surgeon01_fps01_0012,Peritoneal Closure2,48:47,50:33
RALIHR_surgeon01_fps01_0012,Positioning of suture4,50:33,50:48
RALIHR_surgeon01_fps01_0012,Transitionary Idle9,50:48,50:53
RALIHR_surgeon01_fps01_0012,Positioning of suture5,50:53,51:14
RALIHR_surgeon01_fps01_0012,Peritoneal Closure3,51:14,57:06
RALIHR_surgeon01_fps01_0012,Positioning of suture6,57:06,58:30
RALIHR_surgeon01_fps01_0012,Transitionary Idle10,58:30,58:41
RALIHR_surgeon01_fps01_0013,Transitionary Idle1,00:00,00:15
RALIHR_surgeon01_fps01_0013,Peritoneal scoring1,00:15,01:33
RALIHR_surgeon01_fps01_0013,Prepetioneal dissection1,01:33,05:16
RALIHR_surgeon01_fps01_0013,Reduction of hernia1,05:16,19:12
RALIHR_surgeon01_fps01_0013,Transitionary Idle2,19:12,19:15
RALIHR_surgeon01_fps01_0013,Mesh placement1,19:15,20:04
RALIHR_surgeon01_fps01_0013,Transitionary Idle3,20:04,20:28
RALIHR_surgeon01_fps01_0013,Mesh placement2,20:28,22:43
RALIHR_surgeon01_fps01_0013,Transitionary Idle3,22:43,22:49
RALIHR_surgeon01_fps01_0013,Positioning of suture1,22:49,23:16
RALIHR_surgeon01_fps01_0013,Catheter insertion,23:16,23:37
RALIHR_surgeon01_fps01_0013,Positioning of suture2,23:37,23:40
RALIHR_surgeon01_fps01_0013,Peritoneal closure1,23:40,28:07
RALIHR_surgeon01_fps01_0013,Positioning of suture3,28:07,28:36
RALIHR_surgeon01_fps01_0013,Transitionary Idle4,28:36,29:34
RALIHR_surgeon01_fps01_0014,Stationary Idle1,00:00,00:24
RALIHR_surgeon01_fps01_0014,Transitionary Idle1,00:24,00:56
RALIHR_surgeon01_fps01_0014,Positioning of suture1,00:56,01:07
RALIHR_surgeon01_fps01_0014,Transitionary Idle2,01:07,01:21
RALIHR_surgeon01_fps01_0014,Mesh Positioning1,01:21,01:26
RALIHR_surgeon01_fps01_0014,Transitionary Idle3,01:26,01:43
RALIHR_surgeon01_fps01_0014,Peritoneal scoring1,01:43,02:58
RALIHR_surgeon01_fps01_0014,Preperitoneal dissection1,02:58,07:31
RALIHR_surgeon01_fps01_0014,Reduction of Hernia1,07:31,14:54
RALIHR_surgeon01_fps01_0014,Transitionary Idle4,14:54,15:06
RALIHR_surgeon01_fps01_0014,Out of Body1,15:06,15:37
RALIHR_surgeon01_fps01_0014,Stationary Idle1,15:37,15:42
RALIHR_surgeon01_fps01_0014,Reduction of Hernia2,15:42,21:30
RALIHR_surgeon01_fps01_0014,Transitionary Idle5,21:30,22:24
RALIHR_surgeon01_fps01_0014,Reduction of Hernia3,22:24,27:16
RALIHR_surgeon01_fps01_0014,Transitionary Idle6,27:16,27:53
RALIHR_surgeon01_fps01_0014,Mesh placement1,27:53,31:47
RALIHR_surgeon01_fps01_0014,Transitionary Idle6,31:47,32:54
RALIHR_surgeon01_fps01_0014,Catheter Insertion,32:54,33:49
RALIHR_surgeon01_fps01_0014,Transitionary Idle7,33:49,33:53
RALIHR_surgeon01_fps01_0014,Positioning of suture2,33:53,34:02
RALIHR_surgeon01_fps01_0014,Peritoneal closure1,34:02,34:48
RALIHR_surgeon01_fps01_0014,Stationary Idle2,34:48,35:23
RALIHR_surgeon01_fps01_0014,Transitionary Idle8,35:23,35:30
